parameter,value,unit,status,note
initial_capex,7000000,RUB,[ДОПУЩЕНИЕ]; проектный параметр,Разработано для модели; не факт заказчика; цены без НДС; номинальные RUB
launch_expense_t0,500000,RUB,[ДОПУЩЕНИЕ]; проектный параметр,Разработано для модели; не факт заказчика; цены без НДС; номинальные RUB
constant_working_reserve,2000000,RUB,[ДОПУЩЕНИЕ]; проектный параметр,Разработано для модели; не факт заказчика; цены без НДС; номинальные RUB
discount_rate,0.24,fraction,[ДОПУЩЕНИЕ]; проектный параметр,Разработано для модели; не факт заказчика; цены без НДС; номинальные RUB
price_indexation,0.04,fraction/year,[ДОПУЩЕНИЕ]; проектный параметр,Разработано для модели; не факт заказчика; цены без НДС; номинальные RUB
cost_indexation,0.05,fraction/year,[ДОПУЩЕНИЕ]; проектный параметр,Разработано для модели; не факт заказчика; цены без НДС; номинальные RUB
usn_revenue_tax,0.06,fraction,[ДОПУЩЕНИЕ]; проектный параметр,Разработано для модели; не факт заказчика; цены без НДС; номинальные RUB
vat_surcharge,0.05,fraction,[ДОПУЩЕНИЕ]; проектный параметр,Разработано для модели; не факт заказчика; цены без НДС; номинальные RUB
treatment_price_2027,1300,RUB/ha_pass,[ДОПУЩЕНИЕ]; проектный параметр,Разработано для модели; не факт заказчика; цены без НДС; номинальные RUB
monitoring_price_2027,250,RUB/ha_survey,[ДОПУЩЕНИЕ]; проектный параметр,Разработано для модели; не факт заказчика; цены без НДС; номинальные RUB
treatment_variable_2027,400,RUB/ha_pass,[ДОПУЩЕНИЕ]; проектный параметр,Разработано для модели; не факт заказчика; цены без НДС; номинальные RUB
monitoring_variable_2027,60,RUB/ha_survey,[ДОПУЩЕНИЕ]; проектный параметр,Разработано для модели; не факт заказчика; цены без НДС; номинальные RUB
crew_count,1,crew,[ДОПУЩЕНИЕ]; проектный параметр,Разработано для модели; не факт заказчика; цены без НДС; номинальные RUB
terminal_equipment_value,0,RUB,[ДОПУЩЕНИЕ]; проектный параметр,Разработано для модели; не факт заказчика; цены без НДС; номинальные RUB
fixed_payroll_including_contributions,3000000,RUB/year_2027,[ДОПУЩЕНИЕ]; проектный параметр,Индексируется на 5% в год
fixed_rent,360000,RUB/year_2027,[ДОПУЩЕНИЕ]; проектный параметр,Индексируется на 5% в год
fixed_insurance_compliance,300000,RUB/year_2027,[ДОПУЩЕНИЕ]; проектный параметр,Индексируется на 5% в год
fixed_marketing,240000,RUB/year_2027,[ДОПУЩЕНИЕ]; проектный параметр,Индексируется на 5% в год
fixed_it,120000,RUB/year_2027,[ДОПУЩЕНИЕ]; проектный параметр,Индексируется на 5% в год
fixed_administration,180000,RUB/year_2027,[ДОПУЩЕНИЕ]; проектный параметр,Индексируется на 5% в год
treatment_volume_2027,6000,ha_pass,[ДОПУЩЕНИЕ]; проектный параметр,"CAPEX задан номинально, без дополнительной индексации; НДС — бюджетное допущение"
monitoring_volume_2027,4000,ha_survey,[ДОПУЩЕНИЕ]; проектный параметр,"CAPEX задан номинально, без дополнительной индексации; НДС — бюджетное допущение"
replacement_capex_2027,0,RUB,[ДОПУЩЕНИЕ]; проектный параметр,"CAPEX задан номинально, без дополнительной индексации; НДС — бюджетное допущение"
vat_threshold_2027,20000000,RUB,[ДОПУЩЕНИЕ]; проектный параметр,"CAPEX задан номинально, без дополнительной индексации; НДС — бюджетное допущение"
treatment_volume_2028,9000,ha_pass,[ДОПУЩЕНИЕ]; проектный параметр,"CAPEX задан номинально, без дополнительной индексации; НДС — бюджетное допущение"
monitoring_volume_2028,6000,ha_survey,[ДОПУЩЕНИЕ]; проектный параметр,"CAPEX задан номинально, без дополнительной индексации; НДС — бюджетное допущение"
replacement_capex_2028,300000,RUB,[ДОПУЩЕНИЕ]; проектный параметр,"CAPEX задан номинально, без дополнительной индексации; НДС — бюджетное допущение"
vat_threshold_2028,20000000,RUB,[ДОПУЩЕНИЕ]; проектный параметр,"CAPEX задан номинально, без дополнительной индексации; НДС — бюджетное допущение"
treatment_volume_2029,11000,ha_pass,[ДОПУЩЕНИЕ]; проектный параметр,"CAPEX задан номинально, без дополнительной индексации; НДС — бюджетное допущение"
monitoring_volume_2029,8000,ha_survey,[ДОПУЩЕНИЕ]; проектный параметр,"CAPEX задан номинально, без дополнительной индексации; НДС — бюджетное допущение"
replacement_capex_2029,600000,RUB,[ДОПУЩЕНИЕ]; проектный параметр,"CAPEX задан номинально, без дополнительной индексации; НДС — бюджетное допущение"
vat_threshold_2029,20000000,RUB,[ДОПУЩЕНИЕ]; проектный параметр,"CAPEX задан номинально, без дополнительной индексации; НДС — бюджетное допущение"
treatment_volume_2030,12000,ha_pass,[ДОПУЩЕНИЕ]; проектный параметр,"CAPEX задан номинально, без дополнительной индексации; НДС — бюджетное допущение"
monitoring_volume_2030,9000,ha_survey,[ДОПУЩЕНИЕ]; проектный параметр,"CAPEX задан номинально, без дополнительной индексации; НДС — бюджетное допущение"
replacement_capex_2030,900000,RUB,[ДОПУЩЕНИЕ]; проектный параметр,"CAPEX задан номинально, без дополнительной индексации; НДС — бюджетное допущение"
vat_threshold_2030,15000000,RUB,[ДОПУЩЕНИЕ]; проектный параметр,"CAPEX задан номинально, без дополнительной индексации; НДС — бюджетное допущение"
treatment_volume_2031,13000,ha_pass,[ДОПУЩЕНИЕ]; проектный параметр,"CAPEX задан номинально, без дополнительной индексации; НДС — бюджетное допущение"
monitoring_volume_2031,10000,ha_survey,[ДОПУЩЕНИЕ]; проектный параметр,"CAPEX задан номинально, без дополнительной индексации; НДС — бюджетное допущение"
replacement_capex_2031,600000,RUB,[ДОПУЩЕНИЕ]; проектный параметр,"CAPEX задан номинально, без дополнительной индексации; НДС — бюджетное допущение"
vat_threshold_2031,10000000,RUB,[ДОПУЩЕНИЕ]; проектный параметр,"CAPEX задан номинально, без дополнительной индексации; НДС — бюджетное допущение"
season_share_2027_01,0,fraction,[ДОПУЩЕНИЕ]; проектный параметр,Одинаковый профиль услуг; оплата в месяц выполнения; фиксированные расходы равномерно
season_share_2027_02,0,fraction,[ДОПУЩЕНИЕ]; проектный параметр,Одинаковый профиль услуг; оплата в месяц выполнения; фиксированные расходы равномерно
season_share_2027_03,0,fraction,[ДОПУЩЕНИЕ]; проектный параметр,Одинаковый профиль услуг; оплата в месяц выполнения; фиксированные расходы равномерно
season_share_2027_04,0.1,fraction,[ДОПУЩЕНИЕ]; проектный параметр,Одинаковый профиль услуг; оплата в месяц выполнения; фиксированные расходы равномерно
season_share_2027_05,0.2,fraction,[ДОПУЩЕНИЕ]; проектный параметр,Одинаковый профиль услуг; оплата в месяц выполнения; фиксированные расходы равномерно
