id,title,organization,url,published,accessed,confirms
S01,New Wohlers Report 2026 Values Additive Manufacturing Market at $24.2B,Wohlers Associates / ASTM International,https://wohlersassociates.com/press-releases/new-wohlers-report-2026-values-additive-manufacturing-market-at-24-2b/,2026,2026-09-02,"AM market $24.2B in 2025; 10.9% growth; services 48%"
S02,AMPOWER Report 2026,AMPOWER,https://additive-manufacturing-report.com/,2026,2026-09-02,"Industrial metal and polymer AM market EUR 11.33B in 2025; desktop AM growth"
S03,3D Printing Markets Totaled $16.0B in CY 2025,Additive Manufacturing Research,https://additivemanufacturingresearch.com/news/3d-printing-markets-totaled-16b-in-cy-2025-growing-to-57b-in-2034-am-research-publishes-2025-annual-and-q4-3dp-am-market-data-and-insights/,2026-03-30,2026-09-02,"3DP/AM market $16.0B; AM services $8.53B"
S04,Custom Online 3D Printing Services,Xometry,https://www.xometry.com/capabilities/3d-printing-service/,unknown,2026-09-02,"Instant quote and on-demand production"
S05,Annual Reports,Xometry Investor Relations,https://investors.xometry.com/financials/annual-reports,2026,2026-09-02,"Official annual report availability"
S06,Manufacturing Services,Materialise,https://www.materialise.com/en/industrial/3d-printing-services/manufacturing,unknown,2026-09-02,"On-demand production reverse engineering quality inspection"
S07,3D Printing Services,Materialise,https://www.materialise.com/en/industrial/3d-printing-services,unknown,2026-09-02,"Spare parts application and storage/obsolescence benefit"
S08,Materialise 2025 Form 20-F,SEC / Materialise NV,https://www.sec.gov/Archives/edgar/data/1091223/000110465926047671/mtls-20251231x20f.htm,2026,2026-09-02,"Materialise manufacturing revenue and service description"
S09,Replique spins off from BASF incubator,BASF,https://www.basf.com/global/en/media/news-releases/2023/06/p-23-242,2023-06-15,2026-09-02,"Digital platform for OEM on-demand parts and decentralized network"
S10,Replique and Miele announce partnership,Replique,https://replique.io/en/replique-and-miele-announce-partnership-to-3d-print-exclusive-accessories/,2021-06-21,2026-09-02,"Miele accessories batch size one ecommerce integration"
S11,Supply Chain Solution,Replique,https://replique.io/en/supply-chain-solution/,unknown,2026-09-02,"Digital warehouse and spare part case examples"
S12,About SP3D,Spare Parts 3D,https://spare-parts-3d.com/about/,unknown,2026-09-02,"DigiPART identifies spare parts inventory for AM"
S13,Spare Parts 3D main page,Spare Parts 3D,https://spare-parts-3d.com/,2026,2026-09-02,"Digital Inventory THEIA service/subscription model"
S14,DigiPart,Spare Parts 3D,https://spare-parts-3d.com/digipart/,unknown,2026-09-02,"Digital passport inventory supplier selection"
S15,FAQs Part Screening for On-Demand Manufacturing,3YOURMIND,https://www.3yourmind.com/news/faq-part-identification-business-cases-on-demand-manufacturing,2023-01-04,2026-09-02,"Part screening printability economic score digital inventory"
S16,Frequently Asked Questions About 3YOURMIND Software,3YOURMIND,https://www.3yourmind.com/news/frequently-asked-questions-about-3yourmind-software,2025-01-21,2026-09-02,"Part Identification Distributed Manufacturing catalog workflow"
S17,About 3YOURMIND,3YOURMIND,https://www.3yourmind.com/about-us,unknown,2026-09-02,"On-demand manufacturing software and digital inventories"
S18,10 Jahre 3D-Druck bei der DB,Deutsche Bahn,https://www.deutschebahn.com/de/presse/pressestart_zentrales_uebersicht/10-Jahre-3D-Druck-bei-der-DB-Immer-mehr-Ersatzteile-und-Spezialwerkzeuge-per-Mausklick-verfuegbar-13638280,2025-11-25,2026-09-02,"200000+ printed parts 1000+ applications EUR20M savings digital warehouse"
S19,Printing in progress DB at work,Deutsche Bahn,https://www.deutschebahn.com/en/3d_printing-6935100,unknown,2026-09-02,"3D scanning database future needs and digital inventory"
S20,Siemens Mobility Spare parts 3D printing for railways,Siemens Mobility,https://www.mobility.siemens.com/global/en/portfolio/rail-services/spare-part-services/easy-sparovation-part.html,unknown,2026-09-02,"Virtual stock 2100+ parts and 31000+ printed/sold customer parts"
S21,Daimler Buses mobile 3D printing centre,Daimler Truck,https://www.daimlertruck.com/en/newsroom/pressrelease/mobile-3d-printing-centre-for-even-greater-customer-proximity-and-fast-availability-of-spare-parts-49951660,2021,2026-09-02,"36m2 mobile mini factory and printable bus spare parts"
S22,S.P.O.D. Spare Parts On Demand,FIT Additive Manufacturing Group,https://fit.technology/solution/spareparts/?hl=en,unknown,2026-09-02,"Virtual warehouse and spare parts on demand workflow"
S23,Directive EU 2024/1799,EUR-Lex,https://eur-lex.europa.eu/legal-content/EN/ALL/?uri=CELEX%3A32024L1799,2024-06-13,2026-09-02,"Common rules promoting repair of goods"
S24,FTC Nixing the Fix press release,Federal Trade Commission,https://www.ftc.gov/news-events/news/press-releases/2021/05/ftc-report-congress-examines-anti-competitive-repair-restrictions-recommends-ways-expand-consumers,2021-05,2026-09-02,"Repair restrictions and limited spare parts availability"
S25,Bambu Lab P1S,Bambu Lab US Store,https://us.store.bambulab.com/products/p1s,unknown,2026-09-02,"P1S price specifications enclosure materials power"
S26,Bambu Lab A1,Bambu Lab US Store,https://us.store.bambulab.com/products/a1,unknown,2026-09-02,"A1 price build volume supported materials"
S27,Bambu Lab Filament Collection,Bambu Lab US Store,https://us.store.bambulab.com/collections/bambu-lab-3d-printer-filament,unknown,2026-09-02,"Filament price ranges"
S28,PLA Basic,Bambu Lab US Store,https://us.store.bambulab.com/products/pla-basic-filament,unknown,2026-09-02,"PLA Basic price"
S29,ABS,Bambu Lab US Store,https://us.store.bambulab.com/products/abs-filament,unknown,2026-09-02,"ABS price and enclosure requirement"
S30,ASA,Bambu Lab US Store,https://us.store.bambulab.com/collections/sale/products/asa-filament,unknown,2026-09-02,"ASA price and enclosure requirement"
S31,TPU 85A TPU 90A,Bambu Lab US Store,https://us.store.bambulab.com/products/tpu-85a-tpu-90a/,unknown,2026-09-02,"TPU price"
S32,Moscow electricity tariffs 2026,GARANT / Moscow Department of Economic Policy,https://base.garant.ru/413375912/53f89421bbdaf741eb2d1ecc4ddb4c33/,2025-12-24,2026-09-02,"2026 Moscow electricity tariff reference"
